gene_norm,n_dataset_tp,n_datasets,datasets,cell_types,timepoints,max_log2FC,min_padj
Cnn3,2,2,GSE223744|GSE234052,Endothelial,12h|1d,1.3421291759035303,5.1110455512963254e-08
Gcnt2,2,2,GSE223744|GSE234052,Endothelial,1d|1h,1.3378519,0.0008343317484744
Surf4,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.3248716066595778,8.575323639539363e-07
Arhgdib,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.3122624515607386,0.0068101613916344
Tubb4b,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.3103234,1.116348615249667e-16
Orai1,2,2,GSE225948|GSE234052,Endothelial,24h|Day2,1.3098154307095191,0.0035762638506141
Actg1,2,2,GSE223744|GSE234052,Endothelial|Pericyte,1d|24h,1.2989864,1.043030974920951e-06
Galnt1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.2928732501658229,6.135310862900641e-20
Pdia4,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.2923203812386066,0.0001088187080814
Sdcbp,2,2,GSE223744|GSE234052,Endothelial,12h|1d,1.284179195068169,3.9509461401328323e-13
Ddost,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.280105657895686,0.0053077490400971
Ssr2,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.2786107997632945,0.0021299745559857
Mapk6,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.2744464,4.299001415131246e-05
Ly6a,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.2637664432899414,1.1839842972472458e-15
Rps11,2,2,GSE225948|GSE234052,Endothelial|Pericyte,24h|Day2,1.2611664307594856,9.923414296069117e-18
Gch1,2,2,GSE223744|GSE234052,Endothelial,1d|1h,1.2483108,1.956200613591906e-05
Rpl6,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.2446180955983623,2.1745342038346563e-06
Mrpl33,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.240591218887392,0.0064616125343006
Trib1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.2178948148850726,1.430742128137616e-05
Midn,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.2137013841396755,8.755891843383723e-06
Creld2,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.210899377836714,1.7498906295154883e-06
Wsb2,2,2,GSE223744|GSE234052,Endothelial,12h|1d,1.2071393568562023,2.047525248171436e-12
Eif3i,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.2070305028383517,0.001355571997009
Tmsb4x,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.206914001123832,2.955509045010565e-05
Pdia3,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.203367005841042,0.000151455135459
Chd7,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.1992171104902474,5.886273253461365e-05
Etf1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.196860816608195,5.594721593875495e-08
Jpt1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.1959725780431707,1.0752587453821373e-07
Gnl3,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.1949798943208814,8.01608620377706e-05
Ndufb6,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.187932237418844,0.0037109921902509
Rpl10,2,2,GSE223744|GSE234052,Endothelial,12h|1d,1.179953225985246,3.576741444700825e-10
Banf1,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.159202560788137,0.0006533421095656
Cpe,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.1559103116468206,4.46247309319086e-05
Hsp90aa1,2,2,GSE223744|GSE234052,Endothelial|Pericyte,1d|24h,1.1548139,3.2295166039353754e-09
Entpd1,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.1482609343950905,0.0001905536762802
Psmc4,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.146679426165617,5.110588471216249e-05
Flna,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.1447654377109369,3.791281389887236e-07
Plin2,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.1422889,7.85052805041909e-06
Lsm4,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.1419628922936147,1.623891646188437e-08
Tmed9,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.1364412102921515,2.4497979227752537e-05
Rpn1,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.1358415505332484,0.0006171968050723
Rps9,2,2,GSE225948|GSE234052,Endothelial|SMC,24h|Day2,1.1266810658760675,4.799056476332654e-05
Rasip1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.1188644149225306,1.266147548803219e-09
Adcy4,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.1160698917337208,2.868639444259474e-07
Myo1c,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.1117514308845315,2.4811155229012116e-09
Slc38a2,2,2,GSE223744|GSE234052,Endothelial,1d|1h,1.1103805,0.0009724200474698
Txn1,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.1103769763738258,1.5664028335392065e-07
Rhoj,2,2,GSE223744|GSE234052,Endothelial,12h|1d,1.104978446117446,4.730252595743628e-05
Tspan4,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.100337673040193,2.3314304569595068e-08
Ptpn12,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.099624993727352,3.1485269278283148e-06
Arpc3,2,2,GSE223744|GSE234052,Endothelial|SMC,1d|24h,1.099380582742565,1.0804896311859536e-11
Stab1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.0989895,1.664416285272037e-05
Hif1a,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.0979834530413686,1.4822085850361144e-10
Fkbp2,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.0968982603069417,2.4888805691862623e-06
Hspg2,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.0952895402697522,3.7601662282012825e-06
Snrk,2,2,GSE223744|GSE234052,Endothelial,1d|1h,1.0912012583034028,0.0003134063615018
Ehd4,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.0839635329507038,5.206646922604019e-09
Psma5,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.0813849215878892,4.8920139156101375e-05
Itm2c,2,2,GSE223744|GSE234052,Endothelial,12h|1d,1.0728516535362809,6.459313073813313e-05
Pnp,2,2,GSE223744|GSE234052,Endothelial,12h|1d,1.0628591993483243,1.3472415307403785e-12
Taldo1,2,2,GSE225948|GSE234052,Endothelial,24h|Day2,1.0564749556008184,5.728839988091254e-09
Dusp6,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.0554233,0.000162310527508
Cavin3,2,2,GSE223744|GSE234052,Endothelial,12h|1d,1.051170300775382,1.058279419161231e-07
Ybx1,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.0509499524601382,0.0038492054606722
Impdh2,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.0505919314837795,1.0105787591186727e-06
Lrrc59,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.047543,1.3780589040187468e-05
Sumo3,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.0397601,2.187083345353134e-06
Rars,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.0370208,0.0042811704178137
Eif5,2,2,GSE223744|GSE234052,Endothelial|SMC,1d|24h,1.0366132,0.0002360260233397
Rpl36al,2,2,GSE223744|GSE234052,Endothelial|Pericyte,12h|1d,1.0363444,6.81408481733394e-05
Ckap4,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.0186941777545773,0.00043322442859
Shisa5,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.0177665687422393,4.0773998918977846e-08
Plec,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.0141316016952793,3.5576201325831057e-11
Eif2s1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.0083197132263209,1.5575910491805892e-08
Magoh,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.0075972412600256,0.0001317753045706
Eif6,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.0003408601238304,8.603500955997031e-08
Atp1b3,2,2,GSE223744|GSE234052,Endothelial,12h|1d,1.0000281115174374,2.063979827376901e-08
Slc25a5,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,0.992494699669642,1.2303693098560844e-09
Mcfd2,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,0.9828677876191612,8.999306145060159e-06
Rps3,2,2,GSE225948|GSE234052,Endothelial|Pericyte,24h|Day2,0.9727061901896652,0.0014091303719395
Prmt1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.9680834,5.395202252044362e-06
Rrbp1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.96745306,5.475521293244244e-21
Rangap1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.9669519,0.0020355160883974
Slc25a3,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,0.9669233448647612,0.0005476788266344
Triobp,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.955368045642708,6.778678938026902e-06
Nsmce1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.9491479318942372,4.416874973329856e-06
Chmp4b,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.9447329708867308,0.0001653029669226
Snhg1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.9445606,0.001854098852604
Rpl29,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,0.9442489282901496,0.0003815574344827
Cct2,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.9338705472310772,1.294198187873544e-06
Adam15,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.922534855591376,1.117671511638019e-07
Rnh1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.9173650786052204,1.608587765662529e-05
Rab5c,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.9123891937841894,1.8764113749455697e-06
Cct3,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.9111653,1.6908477894765962e-06
Canx,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,0.9110963272773676,3.183251044420255e-07
Rps19,2,2,GSE225948|GSE234052,Endothelial|Pericyte,24h|Day2,0.8903600012654713,0.0256223497318326
Rpl10a,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.8862620386734109,4.370426435542995e-15
Myo1b,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.88596135,2.399050383708335e-05
Selenos,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.8857875,0.0013686446203027
Hspa9,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.8840032079446888,0.0002017570424696
Mbd2,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.8814060098568698,0.0009789387084763
Apbb2,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.8789921482064849,9.112212751629848e-05
Hsp90ab1,2,2,GSE223744|GSE234052,Endothelial|Pericyte,1d|24h,0.8785308,8.461477775993211e-40
Psmd14,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.8689992324999436,1.6491197569155463e-08
Chic2,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.85276806,7.156008471165751e-05
Rpl4,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,0.8318521688026059,0.0006236446382198
Vcp,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.8296663698284946,1.259814152851403e-07
Psmd3,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.8201284511918158,1.395925287666316e-05
Rpl15,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.8093312280684161,1.2193546623704163e-32
Gpx1,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,0.8063320183309943,2.4537074950650303e-05
Atp5b,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,0.8018339767489417,0.0007227200578407
Rps15,2,2,GSE225948|GSE234052,Endothelial|Pericyte|SMC,24h|Day2,0.79162896,0.0157942742490317
Tmsb10,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.7823824230192914,4.29634956966092e-05
Colgalt1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.7787042859607726,2.003611743894428e-06
Zeb1,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.7769861250084098,0.000846579329766
Rab11a,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,0.7720931256862621,1.0563565491175753e-08
Gas5,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,0.7648436314955881,1.5527273434304152e-05
Psmc5,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.7522488285442128,4.064812722645402e-07
Ddx54,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.7490044,0.0097166920572936
Pa2g4,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.7477700267275565,0.0003210328364394
Hnrnpdl,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.7414475893914408,0.0002961562349137
Lyar,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.7306291,0.013968713265801
Stip1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.7190683066422144,5.1524025549214765e-05
Ncl,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.7036677643232556,9.993881907647373e-06
Rnps1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.6683791,0.0072862723158409
Psmc3,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.6607008,1.2837975531399358e-06
Cct8,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.645653160689433,4.622009811839364e-05
Cdv3,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.6449761923508666,0.0005495877797452
Aldoa,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.6395207701139166,3.121603129733715e-05
Nav1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.6364409,0.0061515732688388
Gspt1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.635214,0.0223071735456979
Cct7,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.6171971,6.322188668700158e-06
Dnajb11,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.6087672411664615,0.0001829220564279
Psma4,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.608237,6.633347452098514e-05
Arhgdia,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.6073547217339124,3.840350434411418e-06
Ppp1r15a,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.5672037,0.0120252697284329
Eif3d,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.5667452,0.0051954705105591
